"default" "student" "balance" "income"
"Yes" "Yes" 1902.96956487606 12464.3030428074
"Yes" "Yes" 2047.41700651498 13678.508032147
"No" "Yes" 6.31886443929102 18912.6140608781
"No" "No" 905.011694432408 39293.9825127873
"Yes" "No" 1335.61287132382 37595.3442741023
"Yes" "No" 1926.59908212714 59224.4527589955
"Yes" "No" 1508.64924310288 37111.3089039706
"Yes" "Yes" 1681.48150579852 10155.3239877604
"No" "Yes" 2133.74548094099 19675.5075861463
"No" "No" 262.599260446498 48762.2835507908
"Yes" "Yes" 1572.85648082363 14930.1783306833
"Yes" "No" 1258.76479390195 26331.3723972254
"Yes" "Yes" 2109.99939482269 17774.5252912207
"No" "Yes" 850.386406238716 6389.07056944882
"No" "Yes" 0 9321.4637343151
"Yes" "No" 1342.26287404933 35691.6373626218
"Yes" "No" 1424.93289000674 27668.952235473
"Yes" "No" 1332.38617766582 53517.350489625
"No" "No" 1319.1876132958 35466.2418626747
"No" "No" 1269.2905749073 43581.1988403355
"No" "No" 524.380176840498 38020.6399233986
"No" "Yes" 1390.18542567836 21735.246943326
"Yes" "No" 2008.45859591035 35145.0476213865
"No" "No" 1787.60381985453 33312.8066836098
"No" "Yes" 790.870027432839 14183.9700258003
"Yes" "No" 1143.68050317136 37751.0173411394
"No" "No" 244.935778985894 27369.0105220281
"No" "No" 1194.59757867202 38222.5061057634
"No" "Yes" 807.748827444968 18760.3451969824
"No" "No" 728.186897542766 52515.067548616
"Yes" "No" 1408.43808460249 48012.9135707117
"Yes" "No" 1562.83791774789 49303.0094684327
"Yes" "No" 1899.54684151896 46076.2371099545
"Yes" "No" 1622.4990392531 39228.5414258989
"Yes" "No" 2073.7828464432 52335.5505993235
"Yes" "No" 1757.73849947833 51991.463494111
"No" "No" 1345.45173685592 43322.1930190477
"No" "No" 1576.90067152779 39835.3487223896
"No" "Yes" 1082.39149734589 15175.3612149216
"No" "No" 136.30734254125 48799.6549055704
"Yes" "No" 1488.77956191303 49803.2930787071
"Yes" "Yes" 2117.12061387647 12143.474803771
"Yes" "No" 1772.85548374805 42080.1068361856
"No" "Yes" 773.921861257735 14558.9121383835
"Yes" "No" 1902.61299103773 53394.0762256759
"No" "Yes" 1323.39565781292 23072.5499188748
"No" "No" 719.93804397567 31031.2193961697
"No" "No" 678.07110557078 63791.8242046779
"No" "Yes" 698.9785363366 25103.0094533339
"No" "Yes" 566.52311940044 25398.3983784735
"No" "No" 435.004134228777 30828.8603927349
"Yes" "No" 1922.82904619158 56202.5761963902
"No" "No" 1406.9476517096 27667.8360308734
"No" "No" 1027.56653131669 48558.0872833985
"Yes" "Yes" 2145.60767410022 23516.1913448152
"Yes" "No" 1805.55958800801 40119.7878293954
"Yes" "No" 1379.43071716928 38881.9693488013
"Yes" "No" 1328.89272521776 34710.0623657107
"No" "Yes" 759.397130569606 18693.1879014694
"Yes" "No" 2054.45252745952 37366.7650507786
"Yes" "No" 1815.17411191986 23648.4135102395
"Yes" "Yes" 1237.62186571379 14862.7054597298
"No" "No" 1101.01501795199 32153.0135926701
"No" "No" 789.256511246828 43835.3402744718
"Yes" "Yes" 2415.31699391853 17429.5033745137
"Yes" "Yes" 1551.02346886055 19027.5086325602
"No" "No" 537.954408771502 54481.3080034763
"No" "No" 946.770746033435 26618.5227609799
"Yes" "No" 1914.10696202772 55573.7017123721
"No" "Yes" 1357.41186805469 22572.7901256335
"No" "No" 1556.19419401156 26905.5807480981
"Yes" "No" 1532.32629971463 42152.3617128869
"Yes" "No" 1549.89467343683 47916.2948560542
"No" "No" 901.208441163058 48855.4508386826
"Yes" "No" 1698.82614249543 27374.8875156932
"Yes" "No" 1975.65302824061 38221.8397449546
"Yes" "No" 1706.95684088777 21738.7963336109
"Yes" "No" 1562.45458493467 43067.3337360648
"No" "Yes" 784.10878118083 11560.567698562
"Yes" "Yes" 2009.6857436175 25694.4961577195
"No" "No" 1567.02386232976 42258.7733461712
"No" "No" 766.512524415546 43426.8308000715
"No" "No" 0 33220.9851811449
"No" "No" 791.182225188319 48206.731750984
"No" "No" 0 32629.9448499908
"No" "Yes" 801.0497163256 14679.8334438848
"No" "No" 0 33272.1521467807
"No" "Yes" 510.296040090535 19682.5608310299
"No" "No" 1541.81280611611 29374.9288818287
"Yes" "No" 1506.19184823604 47061.3945398275
"Yes" "No" 1672.50606273916 66466.460890915
"No" "Yes" 865.906315848438 18064.243987294
"Yes" "Yes" 1530.55147909759 13003.9292044954
"Yes" "Yes" 2066.69560264995 10470.6359999562
"Yes" "No" 1833.64654831254 43539.7843334378
"Yes" "No" 1898.32349723464 61011.2159467102
"Yes" "Yes" 1013.21688638161 19651.2617936432
"No" "Yes" 728.549399239302 22891.9293782851
"No" "No" 865.400213478165 53798.8192148106
"Yes" "No" 1972.16681967648 34362.6350079998
"Yes" "Yes" 1807.66621807195 18166.3226526991
"No" "Yes" 978.236903521764 15073.7878502656
"Yes" "No" 1496.07211037409 40214.6208266244
"No" "No" 737.723042521754 48994.8128507247
"Yes" "No" 1026.35885461087 56182.1299303767
"No" "No" 280.724169013609 40382.5992622225
"Yes" "No" 1119.09724476071 37224.5678135129
"No" "No" 196.482990431978 41972.9849545641
"No" "No" 1177.08837749571 29949.497842595
"Yes" "No" 2095.11481689194 44647.5864831921
"Yes" "Yes" 2046.63951494124 17910.6344721428
"No" "No" 779.657300310476 40804.4757033746
"No" "No" 879.624128238925 33682.1861575423
"No" "No" 791.663341774579 48127.6261396151
"Yes" "No" 1973.82214669185 27340.0122687502
"No" "Yes" 1149.20983594409 11337.0592459497
"No" "Yes" 1636.51972469254 17533.3422009671
"Yes" "No" 1838.87136892563 32129.3398189179
"Yes" "No" 1928.28028339196 35492.1282298837
"Yes" "No" 1631.61561720793 38906.956406913
"Yes" "Yes" 1402.20572671052 15964.2091821951
"No" "No" 1491.70754528024 40637.4479829066
"No" "No" 338.476753874062 32666.5125332143
"Yes" "No" 1889.59918976304 48956.1715885681
"Yes" "No" 1655.77559694702 25639.7935387017
"No" "No" 1360.54717336406 54705.1269778723
"No" "No" 1322.15285429724 47892.8899845687
"No" "No" 958.326632217788 28145.8424785305
"Yes" "No" 1392.59975316796 37620.2413146324
"No" "No" 210.797282960451 34468.8991617379
"No" "Yes" 662.273556493038 15092.0510234018
"No" "No" 963.428148153574 60084.1264776155
"No" "No" 481.880421732302 44137.0795000152
"No" "Yes" 484.085483620726 12045.3104191307
"No" "No" 1177.81506956381 32294.5456510691
"Yes" "No" 1823.40410518463 14664.1381225121
"Yes" "No" 1531.71645931978 43930.4000955678
"Yes" "No" 1708.65972028717 38203.5094749589
"Yes" "Yes" 2291.61768844883 20837.2094471977
"No" "No" 891.192146223565 35862.1673027478
"Yes" "No" 1661.75264500024 21871.4629698414
"Yes" "No" 2202.46239490796 47287.2571079624
"No" "No" 802.092675362193 45052.5804474234
"Yes" "Yes" 1956.92390589788 15574.389976252
"No" "No" 690.70587061269 59561.9052001087
"No" "No" 524.862618447016 54738.5066498565
"No" "Yes" 1047.99823953348 15846.655228066
"No" "No" 667.412163656887 31150.0265366089
"No" "No" 1309.40574622583 34469.9801719868
"Yes" "Yes" 1118.70103943078 21848.4429000063
"No" "No" 559.832011277457 39144.4768374331
"No" "Yes" 914.106496229866 15546.7836705556
"Yes" "Yes" 2334.12355928646 19335.8892870067
"Yes" "No" 1700.59991348658 30488.9834104565
"Yes" "No" 2155.28898610335 34787.2526819072
"No" "No" 962.948614604359 28660.9305693435
"Yes" "Yes" 2038.54315996182 12181.902584317
"Yes" "Yes" 2502.68493124851 14947.5197523987
"Yes" "No" 1809.40986352205 33453.406538286
"Yes" "Yes" 1502.18673866603 18603.495531833
"Yes" "No" 1586.50219904833 48925.9333773086
"Yes" "No" 1315.55876543897 35456.6960512827
"No" "No" 1303.62613153881 40010.4651612535
"No" "Yes" 565.830058840306 21042.2277169228
"Yes" "Yes" 1359.21394743248 25548.4874099867
"No" "Yes" 748.301340361255 11248.6707527348
"Yes" "Yes" 1707.91463425405 10591.7174194295
"No" "No" 752.426109073027 32539.645010165
"Yes" "Yes" 1758.40657080375 14272.2737755857
"Yes" "No" 1243.55402519945 37634.3463986484
"Yes" "No" 1515.60623850741 48688.5120858599
"No" "Yes" 1175.13333149015 15444.9269201034
"No" "No" 666.622349038193 44931.9397555623
"No" "No" 0 36584.7569962462
"No" "No" 400.059110376214 30160.2889819035
"No" "No" 999.63485520902 51385.6997288261
"No" "No" 783.057400540258 54082.4240845222
"Yes" "No" 1711.16909322993 18579.1024704064
"Yes" "Yes" 1500.89453315482 15802.2328831476
"No" "No" 595.368804329898 31418.8156662782
"No" "No" 1024.82365673274 46113.6471170703
"Yes" "No" 698.56735192862 31754.5234215337
"No" "Yes" 1472.94846140665 23877.5926590672
"Yes" "Yes" 1553.34965666218 18091.9437361812
"Yes" "Yes" 1957.12029492724 18805.9521289077
"No" "No" 653.436222212024 41440.9285587421
"No" "Yes" 926.569431024724 19243.406446276
"Yes" "No" 2024.10501794555 51508.8688750637
"No" "No" 260.618801935897 42125.1486747
"Yes" "Yes" 1424.55932328854 25398.1974394264
"Yes" "No" 1323.62814220734 18820.7949690603
"No" "No" 758.021077838799 55278.5919447949
"No" "No" 1140.82015178859 36495.0553896058
"Yes" "No" 1731.6807661524 56228.9216823573
"No" "No" 711.663817704793 35741.2021602845
"Yes" "Yes" 1836.16176454549 18944.8078756839
"No" "Yes" 541.662755324457 16335.7034406021
"Yes" "No" 961.732661954925 27600.4162967222
"Yes" "No" 1721.43491831519 41999.7033384974
"No" "No" 117.642483931776 46550.2672705963
"Yes" "Yes" 1819.94093603444 19393.4829690793
"No" "Yes" 547.246325087015 17445.901718035
"Yes" "Yes" 2004.3940010495 18860.8466453611
"No" "No" 500.64925119635 31353.7500167738
"Yes" "Yes" 1543.09958172153 18304.6505704658
"Yes" "Yes" 1770.96944052649 15975.5371965119
"No" "No" 1107.3041567002 52765.0586636951
"No" "No" 980.763938624199 43650.5344586779
"No" "No" 268.961482796412 40733.4679825431
"No" "No" 0 40766.6953402928
"No" "No" 449.735085836859 49643.4264416677
"Yes" "No" 1412.19244842734 37283.0081014143
"No" "Yes" 1227.48527263112 16717.6205876885
"No" "Yes" 944.8328467186 23323.8227309825
"No" "Yes" 923.018822925402 19136.6149186515
"No" "No" 1738.11083484111 38821.6262992155
"No" "No" 899.483312099838 36361.9780794584
"Yes" "No" 1350.60326099354 21541.2987938108
"Yes" "Yes" 1803.94456724079 29100.8192252135
"Yes" "No" 2148.89845431192 44309.9171725874
"Yes" "Yes" 2110.55685791454 19345.1047348054
"Yes" "Yes" 1944.677458621 13026.0467334358
"No" "No" 960.912667754959 29304.4577217283
"Yes" "Yes" 2216.01766888986 20911.695635345
"No" "No" 1073.02581933369 39553.831261169
"Yes" "Yes" 2321.88222078406 21331.3147812222
"Yes" "No" 1803.1702590052 36192.6302248573
"Yes" "No" 2075.18875447378 40882.4942205655
"No" "No" 712.936992421474 20810.3189465256
"No" "No" 960.237692052783 53418.510829153
"No" "Yes" 684.935381218755 21908.5715872975
"Yes" "Yes" 2113.62976138136 21100.7217870678
"Yes" "No" 1170.19897414894 46692.1047752222
"Yes" "No" 1650.57800035387 31514.2596520501
"Yes" "No" 1165.53985274392 50341.5739037884
"Yes" "Yes" 1721.97302703926 15179.7493287096
"No" "No" 860.034364598748 33740.699107592
"No" "No" 1559.75214620523 37227.2688180877
"Yes" "Yes" 1812.07999802736 17962.2701593326
"No" "Yes" 915.571546852198 22586.3382776513
"Yes" "No" 1488.46992484111 36457.2232810267
"Yes" "No" 1801.80118346806 24152.264834226
"Yes" "No" 2062.87062844915 30839.1806730601
"No" "Yes" 1011.33484841619 14101.2902997406
"No" "Yes" 1521.49494912154 18018.9043408893
"No" "Yes" 903.916652133078 20246.3932304422
"No" "Yes" 568.294950972513 13286.3504957018
"Yes" "Yes" 2182.60434354643 20780.69245487
"Yes" "No" 1278.40730029171 36675.6068828001
"No" "Yes" 1217.62391318403 21160.4293008005
"No" "No" 1139.37070195429 42759.3825328246
"No" "Yes" 698.157981667433 19582.8161575693
"No" "Yes" 1269.67822272096 13998.3067322622
"Yes" "No" 1478.12406941257 31515.3444926478
"Yes" "No" 2187.22484631191 42205.1230478132
"Yes" "No" 1558.46347122157 41648.326172772
"No" "No" 1012.76845381661 36406.2410883707
"Yes" "Yes" 2332.8782541994 11770.2341236926
"No" "Yes" 1255.97389096594 21757.6763903522
"No" "Yes" 630.973489225016 19087.1747800951
"Yes" "No" 1807.68449070323 42308.9544537047
"No" "No" 138.588586671783 38437.9918872461
"Yes" "Yes" 1504.29017813787 13965.1860445333
"Yes" "Yes" 2261.84816166666 20030.1651194096
"No" "No" 543.971897115436 34390.5025931627
"Yes" "No" 1750.25315038805 51578.9401632488
"Yes" "Yes" 1889.33211032708 22652.1096342004
"Yes" "No" 2006.98617301263 50033.5331529481
"Yes" "Yes" 1871.93838694355 18077.4870927503
"No" "No" 943.566247081687 31377.9428154229
"No" "No" 110.572909811983 47339.1087511931
"No" "No" 1024.57823828863 33071.5499188853
"No" "Yes" 499.957229779348 22884.9525653222
"No" "Yes" 1002.41924969378 17797.3437053801
"Yes" "Yes" 1570.6587796556 16239.1531737462
"Yes" "No" 1823.7514257788 53526.3564109476
"Yes" "No" 2288.40808192017 52043.5690521956
"No" "Yes" 808.396167027043 11804.0344760529
"No" "No" 331.164338742849 25922.4167354017
"Yes" "Yes" 1867.30856911342 24720.4805591524
"No" "No" 599.380380137431 58909.3442631081
"No" "Yes" 452.302355609914 19922.6401247417
"No" "No" 455.190784198115 36488.1578499807
"Yes" "No" 1554.81631872328 26430.4894049186
"No" "Yes" 969.784159054437 21412.6009801252
"No" "No" 1295.99163272121 39799.9975427976
"Yes" "Yes" 1665.70832014732 21024.2716484296
"No" "Yes" 148.657094714831 15645.7771213044
"Yes" "No" 2040.59017105597 50930.9107859245
"Yes" "Yes" 2205.79952114829 14271.492252976
"Yes" "No" 1991.64912011299 42133.3731759574
"Yes" "No" 1747.98366856951 18966.10957371
"No" "No" 850.466593719231 34367.6765291129
"Yes" "No" 2024.82021156467 64135.4310819166
"Yes" "Yes" 1289.24621049482 13624.5452584786
"Yes" "No" 1940.3716198907 41162.9336560565
"Yes" "No" 2220.96620112365 40725.0962073577
"No" "No" 326.038112595005 25498.0135270893
"No" "No" 379.291013494282 43096.4898085055
"Yes" "No" 1166.79852718668 30367.6108561366
"No" "Yes" 953.626323812467 18363.0684974424
"Yes" "No" 1530.35315714612 30003.8171511159
"Yes" "No" 1907.37731125308 42346.8284633201
"Yes" "No" 1377.68001967136 41435.2694991584
"Yes" "No" 1865.63577947078 49604.8821305309
"Yes" "Yes" 1983.23447461812 25687.9297474383
"Yes" "Yes" 1627.89832265731 17546.9970160528
"No" "No" 1182.44483185605 34784.7881285648
"Yes" "No" 2033.19178970717 44998.2874372569
"Yes" "Yes" 1473.03456108025 18108.9616707213
"No" "No" 44.3136199316928 30449.2501938471
"Yes" "Yes" 1875.45889462485 17820.4633288357
"Yes" "No" 1028.76720660767 40346.8332744194
"Yes" "No" 1964.01468409879 50553.5345217328
"No" "Yes" 1294.50040763618 25687.3260499738
"No" "Yes" 1178.24441352846 7750.28922055921
"No" "Yes" 776.606472977211 4755.25219033558
"No" "No" 687.956792216651 40354.2160422405
"Yes" "No" 1733.82467870178 26330.5117293113
"No" "No" 0 54298.8596097499
"No" "No" 1092.5243064854 19759.1226373765
"No" "No" 1051.94757326739 52888.1850963327
"No" "Yes" 284.050551961391 15352.3597814414
"No" "No" 328.013011130292 38500.3995970506
"Yes" "No" 1621.57578487284 36577.8462027349
"No" "No" 438.080376882359 44737.658451196
"Yes" "Yes" 2168.45319610867 24648.9799157642
"No" "Yes" 1434.84916401448 17459.0312731554
"No" "No" 0 29775.1588729276
"No" "Yes" 1430.82481135904 10766.9377730224
"Yes" "No" 1125.6565618153 34758.1237796202
"Yes" "No" 1396.78918130163 40371.1247388957
"Yes" "Yes" 1874.82261243745 14957.8163342872
"Yes" "Yes" 2578.46902158917 25706.6477744655
"Yes" "Yes" 2269.94696613409 18021.105947569
"Yes" "Yes" 1893.6643342683 21526.3506270682
"No" "No" 906.541762633329 27074.7747433343
"Yes" "Yes" 2352.05494931522 24067.5481040571
"No" "No" 637.338107076551 49657.3942823564
"Yes" "Yes" 2247.42188932705 17926.7230141293
"No" "Yes" 1005.81173310083 12112.6574158034
"Yes" "No" 1550.44926441315 56273.5136083638
"No" "No" 1125.15873643759 37864.3259790881
"Yes" "No" 1763.57908789461 46227.0745421357
"No" "No" 761.988490630495 39172.9452351635
"Yes" "Yes" 2123.36921697603 23836.4642624001
"No" "No" 108.056775837302 41840.3258124129
"No" "No" 1027.77053169201 44406.83691434
"No" "No" 199.454789588577 57455.2101645723
"Yes" "No" 2124.67131340206 44520.000102649
"No" "Yes" 1036.60044401754 15197.248514096
"No" "No" 0 36249.1749894424
"Yes" "No" 1856.91471650834 33445.6168691596
"Yes" "No" 1644.69662278627 61474.9344461318
"Yes" "No" 1066.88408412325 44918.4123168182
"Yes" "No" 1632.89411755965 44326.5848389279
"No" "No" 1029.81930810508 50635.8908134497
"Yes" "Yes" 1507.33394777159 23898.8782347949
"No" "No" 468.549457486006 53273.9190207264
"No" "No" 1637.03755674049 45027.538161563
"No" "Yes" 851.729729640048 14726.3760194068
"No" "No" 608.108446611742 46962.7870124299
"No" "No" 1228.33429993148 43577.66949173
"Yes" "No" 1758.42094743883 49787.4565722879
"No" "No" 747.353555712602 42900.0249481755
"Yes" "No" 1751.34708758191 38381.5857951998
"Yes" "Yes" 1647.28224769539 16154.4622803728
"Yes" "No" 1672.0314827914 50327.3677566251
"No" "No" 681.451239454484 48892.5246942349
"Yes" "No" 1823.63655922363 44260.1563740071
"No" "No" 1991.13551404059 30809.6745673939
"No" "Yes" 1175.79905681463 18178.0819336875
"No" "No" 171.001189215614 42749.130710704
"No" "No" 690.185731263381 32761.2272146714
"Yes" "No" 1374.47471172714 35805.708860939
"No" "No" 705.095045797165 38297.8549493873
"Yes" "No" 1360.38578198715 28992.0018194355
"No" "No" 807.219216290949 42138.6530736505
"Yes" "Yes" 2461.50697867784 11878.5570446708
"No" "Yes" 1258.18521914431 11672.2220033397
"No" "Yes" 583.599749188687 15179.6861261427
"Yes" "Yes" 2125.79220209824 19539.1486085893
"No" "Yes" 1615.50480202178 19566.1579588502
"Yes" "No" 1920.24233205636 57242.9834069871
"Yes" "Yes" 1805.6183529996 19168.0299741275
"Yes" "Yes" 2008.03298475156 18601.4030905943
"Yes" "Yes" 1704.57852928341 16887.4051366611
"Yes" "No" 2049.0298451449 52568.9088071495
"Yes" "Yes" 1985.32173867563 22248.4026595649
"No" "No" 818.28434663854 48490.8121880235
"Yes" "Yes" 2024.66016984007 9663.7881589584
"No" "No" 1124.88618865227 41989.0341969489
"No" "No" 1394.07975394572 27179.4287768602
"No" "No" 922.666469149122 33445.4896891145
"No" "No" 1306.77057329409 56640.6340336077
"Yes" "No" 1292.43021067816 50990.5771675202
"No" "No" 478.363326131214 28262.8681327123
"Yes" "Yes" 1899.3906258472 20655.2000032624
"No" "No" 122.094308759452 46609.3974801976
"No" "No" 920.408497828846 40536.6424788207
"No" "No" 1424.35121841429 37845.9992477028
"No" "Yes" 1384.41537314232 13707.0415964143
"Yes" "No" 1858.9045150328 35525.2139266658
"No" "Yes" 0 13621.8111912884
"No" "Yes" 1669.09103762141 16830.7529473416
"Yes" "No" 1658.96768927915 38204.1226198861
"Yes" "No" 1505.83147454065 29525.7494012187
"Yes" "Yes" 2124.48923886948 12651.0743188128
"Yes" "Yes" 1726.47960966875 13654.6049381595
"Yes" "No" 1789.09339109987 48331.1268575393
"No" "No" 1216.45150955433 53639.8468273843
"No" "Yes" 704.472521881142 21140.275640308
"Yes" "No" 959.159213374077 59435.2345810762
"Yes" "Yes" 2387.31486743364 28296.9147184635
"No" "Yes" 488.957012076425 15912.3045797469
"No" "No" 490.055975362601 35895.3539099007
"Yes" "No" 1547.99544475031 37524.2535271978
"No" "No" 457.957743633761 36211.1949861006
"No" "No" 1358.10977879143 50662.8927850888
"No" "Yes" 1319.70644850247 23373.9311983134
"Yes" "No" 1319.81645438772 36548.8183522009
"Yes" "Yes" 1102.43498209896 17391.779646823
"Yes" "Yes" 2035.8615565476 14435.8431942214
"Yes" "No" 1994.39506620033 44794.3375042287
"Yes" "No" 1981.45181538436 28127.8954733126
"Yes" "No" 2147.3125781201 58271.3908258596
"Yes" "Yes" 2134.93448768395 20330.8648725049
"Yes" "No" 1511.61095196469 53506.9449260287
"No" "No" 790.590582117334 48219.5944665748
"No" "Yes" 561.781867072271 18470.2826118409
"Yes" "Yes" 1893.94295526224 12399.1247374186
"Yes" "No" 1135.04734947211 48982.225852038
"No" "No" 371.865220141344 45949.9142067639
"No" "Yes" 1959.59551983283 19677.9357288247
"Yes" "No" 2133.46420858019 28237.8823408005
"Yes" "Yes" 1894.1682010356 28321.6845474436
"No" "No" 362.055049681232 50906.4812600996
"Yes" "No" 1563.53519785347 51704.9199686192
"Yes" "Yes" 2182.34895374804 22037.8596945121
"Yes" "No" 1804.19050453849 23096.0843640887
"Yes" "Yes" 2654.32257628018 21930.3888786977
"No" "No" 1126.4104826892 35125.6777238733
"No" "No" 289.598834250938 25724.7706367641
"No" "Yes" 799.74334079071 16147.5766201027
"No" "Yes" 503.216622570078 21371.2463239397
"No" "No" 0 34213.4915205813
"Yes" "No" 1322.72397902781 23229.9091337731
"Yes" "No" 1476.50978220195 42984.4128511994
"Yes" "No" 2128.79599194797 42096.5023677566
"No" "No" 390.055026370177 27108.2136591038
"No" "Yes" 712.276351280275 23341.9502302432
"No" "No" 438.420240631268 29899.8221569397
"No" "No" 228.511851114921 57232.2685587695
"No" "Yes" 975.642874013062 25920.3219107255
"Yes" "No" 1847.79137287982 30202.8462381974
"Yes" "Yes" 1402.2675157905 12104.3156125042
"No" "No" 454.760370677831 45572.172484486
"Yes" "No" 1969.94292393429 29415.7532920711
"Yes" "No" 1804.03647479983 31318.2960261534
"Yes" "No" 1302.73474174655 43680.065235685
"No" "No" 1722.12591993846 21623.0364539985
"Yes" "No" 1361.73579057918 50322.355320138
"No" "No" 1020.19775584997 43592.8341359861
"No" "Yes" 878.542064501041 17496.7414821956
"No" "Yes" 0 10276.2561072754
"Yes" "No" 1288.40699655441 44253.3087353926
"No" "No" 1491.6405870679 61096.4921750445
"Yes" "No" 2074.80758856856 38988.8592451984
"Yes" "No" 1504.75537803833 26183.2453525162
"Yes" "No" 1891.10961430646 34448.693854621
"Yes" "No" 1717.07159258608 38408.8909167269
"Yes" "No" 1588.52620557925 38014.5688450189
"No" "No" 1276.98264992429 40611.3486878798
"Yes" "Yes" 1925.98279481192 17763.3503033729
"No" "No" 361.367609935872 36533.7103584246
"No" "Yes" 1497.36480871339 10576.3414807282
"Yes" "Yes" 1774.69422305776 20359.5060855671
"Yes" "No" 1666.1138341785 25054.7678239285
"Yes" "Yes" 1233.44589515108 12586.4781909623
"No" "Yes" 320.725569726674 12589.7675596142
"No" "No" 0 47207.0507207127
"No" "No" 1185.1493653956 32467.4177408487
"Yes" "Yes" 1493.96853901776 24126.029785681
"No" "No" 1380.14403201419 48087.825053096
"No" "No" 1042.69918861583 10693.6215983792
"Yes" "Yes" 2177.15086891132 17659.7478222343
"No" "No" 532.153609268785 43789.3351854842
"Yes" "Yes" 1748.68084923477 13715.4243783026
"Yes" "No" 1178.15885831725 44437.2021385296
"No" "No" 595.486701367495 34470.4180269734
"No" "No" 1436.64766913975 38571.3280595237
"Yes" "Yes" 1878.00114593831 17473.1839905825
"Yes" "No" 2080.93724738167 34494.1712062838
"No" "No" 0 50805.0365860861
"Yes" "Yes" 1433.16763517475 18087.6863730016
"Yes" "No" 2236.76421456131 37113.8830697644
"Yes" "No" 652.397134412879 46155.0438680055
"Yes" "No" 1790.67498344072 44607.4290190773
"Yes" "Yes" 1276.68508261978 19282.4359237479
"Yes" "Yes" 1988.86974718816 17762.8659115926
